month,total_sales,order_count,total_spend,Facebook,Google Ads,Instagram,TikTok,YouTube
2025-01-01,1160.0,8,2340.0,520.0,870.0,310.0,240.0,400.0
2025-02-01,1920.0,12,2200.0,610.0,920.0,0.0,280.0,390.0
2025-03-01,5340.0,20,1970.0,700.0,0.0,500.0,320.0,450.0
2025-04-01,6100.0,20,2390.0,680.0,980.0,0.0,310.0,420.0
2025-05-01,4820.0,20,2770.0,750.0,1150.0,520.0,350.0,0.0
2025-06-01,9320.0,24,2990.0,720.0,1020.0,480.0,330.0,440.0
2025-07-01,11140.0,24,3400.0,800.0,1200.0,550.0,370.0,480.0
2025-08-01,12820.0,24,3110.0,770.0,1080.0,490.0,340.0,430.0
2025-09-01,14800.0,24,2820.0,690.0,950.0,460.0,310.0,410.0
2025-10-01,16380.0,24,3190.0,730.0,1120.0,510.0,360.0,470.0
2025-11-01,18360.0,24,3360.0,780.0,1180.0,530.0,380.0,490.0
2025-12-01,19940.0,24,3530.0,820.0,1250.0,560.0,400.0,500.0
