month,total_sales,total_spend,roi
2025-01-01,1160.0,2340.0,0.49572649572649574
2025-02-01,1920.0,2200.0,0.8727272727272727
2025-03-01,5340.0,1970.0,2.7106598984771573
2025-04-01,6100.0,2390.0,2.5523012552301254
2025-05-01,4820.0,2770.0,1.740072202166065
2025-06-01,9320.0,2990.0,3.117056856187291
2025-07-01,11140.0,3400.0,3.276470588235294
2025-08-01,12820.0,3110.0,4.122186495176849
2025-09-01,14800.0,2820.0,5.24822695035461
2025-10-01,16380.0,3190.0,5.1347962382445145
2025-11-01,18360.0,3360.0,5.464285714285714
2025-12-01,19940.0,3530.0,5.648725212464589
